"gene_id","gene_symbol","ENTREZID","cell_type","rank_stat"
"ENSG00000182372","CLN8","2055","B_cells",1.9012269754379
"ENSG00000198945","L3MBTL3","84456","B_cells",1.89997588784652
"ENSG00000072401","UBE2D1","7321","B_cells",1.89928831793364
"ENSG00000162695","SLC30A7","148867","B_cells",1.89865144928621
"ENSG00000172493","AFF1","4299","B_cells",1.89853320308692
"ENSG00000169951","ZNF764","92595","B_cells",1.89842194886621
"ENSG00000121578","B4GALT4","8702","B_cells",1.89833639323995
"ENSG00000147894","C9orf72","203228","B_cells",1.89739187662406
"ENSG00000176018","LYSMD3","116068","B_cells",1.89635101713461
"ENSG00000226419","SLC16A1-AS1","100506392","B_cells",1.89553963787357
"ENSG00000163513","TGFBR2","7048","B_cells",1.89509195360788
"ENSG00000137575","SDCBP","6386","B_cells",1.89485504724159
"ENSG00000055332","EIF2AK2","5610","B_cells",1.89466808363271
"ENSG00000124523","SIRT5","23408","B_cells",1.89421386395361
"ENSG00000136870","ZNF189","7743","B_cells",1.89307339696566
"ENSG00000271601","LIX1L","128077","B_cells",1.89209655724946
"ENSG00000102218","RP2","6102","B_cells",1.8914839022287
"ENSG00000186265","BTLA","151888","B_cells",1.89088103270074
"ENSG00000173369","C1QB","713","B_cells",1.89043267865252
"ENSG00000173914","RBM4B","83759","B_cells",1.8900102622979
"ENSG00000104064","GABPB1","2553","B_cells",1.88899276709545
"ENSG00000172216","CEBPB","1051","B_cells",1.88834478299646
"ENSG00000213658","LAT","27040","B_cells",1.88367952977441
"ENSG00000256223","ZNF10","7556","B_cells",1.8826305444834
"ENSG00000175387","SMAD2","4087","B_cells",1.8735570602016
"ENSG00000164983","TMEM65","157378","B_cells",1.8729760648479
"ENSG00000141424","SLC39A6","25800","B_cells",1.86573950675339
"ENSG00000027697","IFNGR1","3459","B_cells",1.86449239171729
"ENSG00000143013","LMO4","8543","B_cells",1.8640250790311
"ENSG00000143970","ASXL2","55252","B_cells",1.85993595450881
"ENSG00000185085","INTS5","80789","B_cells",1.85668852397287
"ENSG00000153094","BCL2L11","10018","B_cells",1.85325805394122
"ENSG00000132950","ZMYM5","9205","B_cells",1.84539176281708
"ENSG00000015479","MATR3","9782","B_cells",1.84362021441634
"ENSG00000196233","LCOR","84458","B_cells",1.84320927905651
"ENSG00000177150","FAM210A","125228","B_cells",1.83534717582804
"ENSG00000142102","ATHL1","80162","B_cells",1.83398354326526
"ENSG00000181191","PJA1","64219","B_cells",1.83350659266364
"ENSG00000095951","HIVEP1","3096","B_cells",1.83008197563691
"ENSG00000117000","RLF","6018","B_cells",1.82936520848698
"ENSG00000132530","XAF1","54739","B_cells",1.82926655213975
"ENSG00000164674","SYTL3","94120","B_cells",1.82870586923888
"ENSG00000158158","CNNM4","26504","B_cells",1.82383390004937
"ENSG00000197951","ZNF71","58491","B_cells",1.82168565088504
"ENSG00000172086","KRCC1","51315","B_cells",1.82155401544411
"ENSG00000164609","SLU7","10569","B_cells",1.81981440489097
"ENSG00000110172","CHORDC1","26973","B_cells",1.81825062201883
"ENSG00000275993","CH507-42P11.8","102724428","B_cells",1.81790610353883
"ENSG00000157933","SKI","6497","B_cells",1.81698212453961
"ENSG00000170854","MINA","84864","B_cells",1.81525256204159
"ENSG00000115998","C2orf42","54980","B_cells",1.8145169793297
"ENSG00000067533","RRP15","51018","B_cells",1.81250839085543
"ENSG00000108256","NUFIP2","57532","B_cells",1.81237755918852
"ENSG00000169379","ARL13B","200894","B_cells",1.81184233890753
"ENSG00000078269","SYNJ2","8871","B_cells",1.81012198239853
"ENSG00000090020","SLC9A1","6548","B_cells",1.80896912509862
"ENSG00000010818","HIVEP2","3097","B_cells",1.80849033021129
"ENSG00000134324","LPIN1","23175","B_cells",1.80828582071626
"ENSG00000167566","NCKAP5L","57701","B_cells",1.80792038951282
"ENSG00000095015","MAP3K1","4214","B_cells",1.80775969753639
"ENSG00000179476","C14orf28","122525","B_cells",1.80700041949918
"ENSG00000167748","KLK1","3816","B_cells",1.80668210283225
"ENSG00000119682","AREL1","9870","B_cells",1.80283733215204
"ENSG00000154945","ANKRD40","91369","B_cells",1.80108825559818
"ENSG00000168564","CDKN2AIP","55602","B_cells",1.80019580605106
"ENSG00000115966","ATF2","1386","B_cells",1.7993128845759
"ENSG00000242086","LINC00969","727956","B_cells",1.79888188954283
"ENSG00000136682","CBWD2","150472","B_cells",1.79651302205743
"ENSG00000105866","SP4","6671","B_cells",1.79603521072008
"ENSG00000140320","BAHD1","22893","B_cells",1.79337915770176
"ENSG00000158636","EMSY","56946","B_cells",1.79332005122981
"ENSG00000147408","CSGALNACT1","55790","B_cells",1.7928174980087
"ENSG00000141551","CSNK1D","1453","B_cells",1.79196214517997
"ENSG00000183779","ZNF703","80139","B_cells",1.79118346863735
"ENSG00000181827","RFX7","64864","B_cells",1.79031989271017
"ENSG00000198393","ZNF26","7574","B_cells",1.7900095507853
"ENSG00000186056","MATN1-AS1","100129196","B_cells",1.78951149492487
"ENSG00000111276","CDKN1B","1027","B_cells",1.78761393939391
"ENSG00000182700","IGIP","492311","B_cells",1.78588521167331
"ENSG00000060069","CTDP1","9150","B_cells",1.78571704716943
"ENSG00000124120","TTPAL","79183","B_cells",1.78391291160777
"ENSG00000130818","ZNF426","79088","B_cells",1.78360626218938
"ENSG00000104324","CPQ","10404","B_cells",1.78287713183296
"ENSG00000101966","XIAP","331","B_cells",1.78263225622465
"ENSG00000149187","CELF1","10658","B_cells",1.78117864187677
"ENSG00000105656","ELL","8178","B_cells",1.78058234145969
"ENSG00000081014","AP4E1","23431","B_cells",1.77836642120827
"ENSG00000070269","TMEM260","54916","B_cells",1.77407591038783
"ENSG00000204514","ZNF814","730051","B_cells",1.77314802507683
"ENSG00000242258","LINC00996","285972","B_cells",1.77132753953297
"ENSG00000169087","HSPBAP1","79663","B_cells",1.77089018444082
"ENSG00000160551","TAOK1","57551","B_cells",1.769522451632
"ENSG00000228784","LINC00954","400946","B_cells",1.76951205062577
"ENSG00000111666","CHPT1","56994","B_cells",1.76716608250325
"ENSG00000150995","ITPR1","3708","B_cells",1.76715600722288
"ENSG00000163328","GPR155","151556","B_cells",1.76571071805519
"ENSG00000170631","ZNF16","7564","B_cells",1.76459521599073
"ENSG00000188786","MTF1","4520","B_cells",1.76365970003279
"ENSG00000119638","NEK9","91754","B_cells",1.76080011522958
"ENSG00000116005","PCYOX1","51449","B_cells",1.75955934853369
"ENSG00000139651","ZNF740","283337","B_cells",1.75946090286445
"ENSG00000121274","PAPD5","64282","B_cells",1.75890610947946
"ENSG00000175906","ARL4D","379","B_cells",1.75850757366403
"ENSG00000112941","PAPD7","11044","B_cells",1.75780394915808
"ENSG00000084073","ZMPSTE24","10269","B_cells",1.7570040628146
"ENSG00000185129","PURA","5813","B_cells",1.75564825253683
"ENSG00000162885","B3GALNT2","148789","B_cells",1.75489672977368
"ENSG00000001084","GCLC","2729","B_cells",1.75390985876896
"ENSG00000129472","RAB2B","84932","B_cells",1.74811693949881
"ENSG00000164951","PDP1","54704","B_cells",1.74652752313146
"ENSG00000155304","HSPA13","6782","B_cells",1.74630077650376
"ENSG00000111328","CDK2AP1","8099","B_cells",1.74140777611524
"ENSG00000164292","RHOBTB3","22836","B_cells",1.73854818356137
"ENSG00000175376","EIF1AD","84285","B_cells",1.73845217999264
"ENSG00000117143","UAP1","6675","B_cells",1.73809503633614
"ENSG00000154001","PPP2R5E","5529","B_cells",1.73778823839126
"ENSG00000005812","FBXL3","26224","B_cells",1.73687948705627
"ENSG00000108506","INTS2","57508","B_cells",1.73464432268059
"ENSG00000185219","ZNF445","353274","B_cells",1.73449426142295
"ENSG00000167562","ZNF701","55762","B_cells",1.73413371261127
"ENSG00000166501","PRKCB","5579","B_cells",1.73075461848349
"ENSG00000180530","NRIP1","8204","B_cells",1.730203072876
"ENSG00000166224","SGPL1","8879","B_cells",1.7294034582383
"ENSG00000113300","CNOT6","57472","B_cells",1.72837201398387
"ENSG00000137075","RNF38","152006","B_cells",1.72705720378357
