"gene_id","cell_type","loo_direction_consistency","min_loo_logcpm_difference","max_loo_logcpm_difference"
"ENSG00000117410","B_cells",0.666666666666667,-0.374699790669767,0.325062040827209
"ENSG00000178028","B_cells",0.666666666666667,-0.153512284541247,0.154131808028303
"ENSG00000117419","B_cells",1,-0.86896476395017,-0.459283920667241
"ENSG00000187147","B_cells",0.666666666666667,-0.233004054674883,0.0950116024148615
"ENSG00000198520","B_cells",1,-1.36173321657755,-0.786536804492699
"ENSG00000142945","B_cells",1,-2.56239361729041,-1.66968810941522
"ENSG00000142937","B_cells",0.833333333333333,-0.60289100094465,0.0209007957782585
"ENSG00000173846","B_cells",0.666666666666667,-0.419915310218658,0.732709989132736
"ENSG00000070785","B_cells",1,-1.19639806027297,-0.670229520012501
"ENSG00000126107","B_cells",0.833333333333333,-0.179896812163893,0.690697609442678
"ENSG00000126088","B_cells",1,-1.02327871721775,-0.736375294302754
"ENSG00000132781","B_cells",1,-0.502276183555558,-0.00103018637754815
"ENSG00000132773","B_cells",0.166666666666667,-0.319459977717522,0.104105653600897
"ENSG00000070759","B_cells",1,-0.5631303030876,-0.266443169429082
"ENSG00000117450","B_cells",0.833333333333333,-0.876508935629314,0.135479768197252
"ENSG00000117448","B_cells",1,-0.824204879906527,-0.196268981488125
"ENSG00000132780","B_cells",0.166666666666667,-0.521864574621294,0.386403177800185
"ENSG00000159592","B_cells",1,0.0266599417262521,0.510131740937394
"ENSG00000159596","B_cells",1,-0.642277735011849,-0.014119442787039
"ENSG00000086015","B_cells",1,-1.15438633003431,-0.785972197872896
"ENSG00000085998","B_cells",0.833333333333333,-0.0175696844890867,0.479754673520545
"ENSG00000132128","B_cells",0.666666666666667,-0.16786192904179,0.416990627441809
"ENSG00000173660","B_cells",0.833333333333333,-0.807297714282711,0.00292365479887735
"ENSG00000117481","B_cells",1,0.641459166220997,1.1260361295009
"ENSG00000079277","B_cells",0.5,-0.262910806251049,0.193780660154125
"ENSG00000142961","B_cells",1,0.221450368606011,0.960921239359592
"ENSG00000123472","B_cells",1,-1.28102400748027,-0.420948273936618
"ENSG00000159658","B_cells",0.833333333333333,-0.150612122442195,0.42899862664428
"ENSG00000162368","B_cells",0.5,-0.205776661745088,0.123119357387123
"ENSG00000162373","B_cells",0.5,-0.712542369512934,0.262077693920768
"ENSG00000185104","B_cells",1,-0.224238413533947,-0.0601097940276123
"ENSG00000123080","B_cells",1,-1.5710961269937,-0.942589728704257
"ENSG00000123091","B_cells",1,0.156564996169802,0.771429488546576
